x-axis,1,2,3
second,Volt,Volt,Volt
-70.900E-06,+723.618083E-03,-30.150753E-03,+37.085427E-03
-70.800E-06,+804.020092E-03,-40.201005E-03,+37.085427E-03
-70.700E-06,+743.718585E-03,-40.201005E-03,+36.281407E-03
-70.600E-06,+804.020092E-03,-20.100502E-03,+36.683417E-03
-70.500E-06,+804.020092E-03,+0.0E+00,+36.281407E-03
-70.400E-06,+804.020092E-03,+0.0E+00,+36.281407E-03
-70.300E-06,+743.718585E-03,-40.201005E-03,+36.281407E-03
-70.200E-06,+763.819087E-03,-20.100502E-03,+36.281407E-03
-70.100E-06,+804.020092E-03,-10.050251E-03,+36.281407E-03
-70.000E-06,+804.020092E-03,+0.0E+00,+37.085427E-03
-69.900E-06,+804.020092E-03,-30.150753E-03,+36.884422E-03
-69.800E-06,+723.618083E-03,+0.0E+00,+37.085427E-03
-69.700E-06,+723.618083E-03,+0.0E+00,+36.884422E-03
-69.600E-06,+723.618083E-03,-0.0E+00,+37.085427E-03
-69.500E-06,+723.618083E-03,-40.201005E-03,+36.884422E-03
-69.400E-06,+804.020092E-03,-20.100502E-03,+36.683417E-03
-69.300E-06,+824.120594E-03,-30.150753E-03,+36.884422E-03
-69.200E-06,+804.020092E-03,+0.0E+00,+37.085427E-03
-69.100E-06,+743.718585E-03,+0.0E+00,+36.080402E-03
-69.000E-06,+723.618083E-03,+0.0E+00,+37.085427E-03
-68.900E-06,+804.020092E-03,-10.050251E-03,+36.281407E-03
-68.800E-06,+804.020092E-03,-40.201005E-03,+37.085427E-03
-68.700E-06,+804.020092E-03,-10.050251E-03,+37.889447E-03
-68.600E-06,+804.020092E-03,-40.201005E-03,+37.889447E-03
-68.500E-06,+804.020092E-03,-40.201005E-03,+37.286432E-03
-68.400E-06,+723.618083E-03,-0.0E+00,+37.889447E-03
-68.300E-06,+804.020092E-03,+0.0E+00,+37.889447E-03
-68.200E-06,+804.020092E-03,+0.0E+00,+37.085427E-03
-68.100E-06,+723.618083E-03,+0.0E+00,+37.085427E-03
-68.000E-06,+804.020092E-03,-0.0E+00,+37.085427E-03
-67.900E-06,+804.020092E-03,+0.0E+00,+37.286432E-03
-67.800E-06,+804.020092E-03,-20.100502E-03,+37.487437E-03
-67.700E-06,+743.718585E-03,+0.0E+00,+37.688442E-03
-67.600E-06,+804.020092E-03,-40.201005E-03,+37.085427E-03
-67.500E-06,+804.020092E-03,-40.201005E-03,+37.085427E-03
-67.400E-06,+763.819087E-03,-20.100502E-03,+37.085427E-03
-67.300E-06,+804.020092E-03,-40.201005E-03,+36.482412E-03
-67.200E-06,+804.020092E-03,-40.201005E-03,+36.281407E-03
-67.100E-06,+783.919590E-03,-10.050251E-03,+36.482412E-03
-67.000E-06,+804.020092E-03,+0.0E+00,+36.683417E-03
-66.900E-06,+804.020092E-03,+0.0E+00,+36.884422E-03
-66.800E-06,+804.020092E-03,+0.0E+00,+36.281407E-03
-66.700E-06,+723.618083E-03,-30.150753E-03,+36.884422E-03
-66.600E-06,+723.618083E-03,-20.100502E-03,+36.683417E-03
-66.500E-06,+723.618083E-03,-30.150753E-03,+37.085427E-03
-66.400E-06,+804.020092E-03,-0.0E+00,+37.085427E-03
-66.300E-06,+723.618083E-03,+0.0E+00,+37.085427E-03
-66.200E-06,+804.020092E-03,-20.100502E-03,+37.085427E-03
-66.100E-06,+783.919590E-03,+0.0E+00,+37.688442E-03
-66.000E-06,+723.618083E-03,-40.201005E-03,+37.085427E-03
-65.900E-06,+804.020092E-03,-10.050251E-03,+37.085427E-03
-65.800E-06,+804.020092E-03,+0.0E+00,+36.281407E-03
-65.700E-06,+783.919590E-03,-30.150753E-03,+37.085427E-03
-65.600E-06,+804.020092E-03,-40.201005E-03,+36.281407E-03
-65.500E-06,+743.718585E-03,-40.201005E-03,+36.281407E-03
-65.400E-06,+804.020092E-03,+0.0E+00,+36.683417E-03
-65.300E-06,+804.020092E-03,-40.201005E-03,+36.482412E-03
-65.200E-06,+804.020092E-03,+0.0E+00,+37.085427E-03
-65.100E-06,+804.020092E-03,-40.201005E-03,+37.085427E-03
-65.000E-06,+804.020092E-03,-20.100502E-03,+37.085427E-03
-64.900E-06,+743.718585E-03,-10.050251E-03,+37.688442E-03
-64.800E-06,+723.618083E-03,-0.0E+00,+37.085427E-03
-64.700E-06,+804.020092E-03,-10.050251E-03,+36.281407E-03
-64.600E-06,+804.020092E-03,-40.201005E-03,+36.683417E-03
-64.500E-06,+783.919590E-03,+0.0E+00,+37.085427E-03
-64.400E-06,+723.618083E-03,+0.0E+00,+37.085427E-03
-64.300E-06,+804.020092E-03,+0.0E+00,+37.085427E-03
-64.200E-06,+804.020092E-03,-40.201005E-03,+36.683417E-03
-64.100E-06,+804.020092E-03,-30.150753E-03,+37.085427E-03
