relative_intensity,angle
# angle=90 is forward
# Digitaized by hand from plot in datasheet https://download.luminus.com/datasheets/Luminus_XST-3535-UV_Datasheet.pdf
0.03792764411010949, 35.6405494321568
0.047267891979007715, 15.688958737393556
0.15130747536858372, 49.84588964330478
0.33799704683204745, 55.31190585793498
0.503930198637375, 60.17135979967465
0.5864312412282391, 64.59294404317251
0.7353457110549124, 70.4115411447973
0.8353866233702438, 75.57316794957711
0.9198988183454548, 80.7354548012496
0.9699531358913471, 85.9071568275918
0.9735119937187291, 90.80215675055456
0.9822969569185462, 96.06271075089548
0.9303537859135869, 101.34408188723188
0.8785322491262235, 106.36755721966152
0.7461769124415119, 111.5670469462384
0.6050039068856496, 116.68610425715566
0.5302386446683771, 121.86407315078506
0.33405058740623095, 127.0647367504026
0.15474358688538137, 132.1313210666325
0.04089372947871489, 140.70903759164915
0.04794482323828683, 163.41982752720006
0,0
0,1800
